# name	address (octal)	source (code: where the listing places it; table: the printed symbol table)	flags
# Derived from symelec-listing.txt by packages/cabinet/scripts/extract-symbols.mjs.
TRACK	05637	code+table	
YCROSS	05640	code+table	
XCROSS	05641	code+table	
SRAST	05656	code+table	
LBD1	05674	code+table	
ERAST	05750	code+table	
SD	05751	code+table	
SD1	05767	code+table	
FD	06030	code+table	
CD	06045	code+table	
ED	06050	code+table	
TD	06062	code+table	
GD	06070	table	
DRAMD	06073	table	
DRAMO	06073	code	
STRAIG	06100	code+table	
RUBBER	06105	code+table	
ENDCOM	06113	code	
ENDCON	06113	table	
ENDDRA	06115	code+table	
POIMO	06207	code+table	
ATTMO	06221	code	
ATTMU	06221	table	
MORE	06226	code+table	
LESS	06237	code+table	
STRCR	06252	code+table	
TESLEV	06271	code+table	
BLIROU	06305	code+table	
SXY	06315	code+table	
MOD	06335	code+table	
INSRTN	06343	code+table	
SETCL	06364	code+table	
TESTIN	06371	code+table	
COPFIR	06430	code	
COPSND	06446	code+table	
DELLEV	06464	code+table	
SEGX	06476	code+table	
SEGY	06510	code+table	
SEGXY	06521	code+table	
TDDIS	06542	table	
TODIS	06542	code	
INSRET	06554	code+table	
SEGRXY	06565	code+table	
SEGCX	06606	code+table	
SEGCNX	06624	code+table	
SEGCY	06637	code+table	
SEGCY1	06652	code+table	
SEGCNY	06672	code+table	
ERASE	06705	code+table	
SAVEX	06722	code+table	
SAVEY	06732	code+table	
SAVTEM	06742	code+table	
TAKE	06777	code+table	
SEGEX	07035	code+table	
UPCOMP	07041	code+table	
UPCOM2	07075	code+table	
UPCOM1	07077	code+table	
FOHBL	07105	code+table	
FONBL	07171	code+table	
ABSXY	07205	code+table	
FOLBL	07215	code+table	
FOPBL	07274	code+table	
MASKX	07312	code+table	
MASKY	07343	code+table	
MASKY1	07402	code+table	
POIDAT	07407	code+table	
PODAT1	07426	code+table	
UPDAXY	07440	code+table	
UPDAIN	07452	code+table	
LINDAT	07466	code+table	
ADJLEV	07504	code+table	
CATDAT	07512	code+table	
CATDA0	07522	code+table	
CATDA1	07532	code+table	
CATDA2	07552	code+table	
ENDPOI	07562	code+table	
ATTPEL	07625	code+table	
AMEND	07640	code+table	
AMEND0	07653	code+table	
AMEND1	07657	code+table	
AMEND9	07662	code+table	
AMEND2	07673	code+table	
AMEND6	07677	code+table	
AMEND7	07714	code+table	
AMEND3	07750	code+table	
AMEND4	07764	code+table	
AMEND5	07775	code+table	
TESTJN	10013	code+table	
VAIN	10051	code+table	
WRLTO	10100	table	multiply-defined,jms
VAIN2	10101	code+table	
DISCON	10116	code+table	
DISCO1	10125	code+table	
WRLB	10134	table	multiply-defined,jms
DISCO2	10143	code+table	
DISCO3	10144	code+table	
POSIT	10160	code+table	
COMPIL	10170	code+table	multiply-defined,jms
COMP	10241	code+table	
COMP10	10306	code	
COMP9	10307	code+table	
COMP14	10364	code+table	
COMP1	10423	code+table	
